Number_of_Customers,Food_Prepared_kg,Food_Consumed_kg,Food_Category,Day_of_Week,Holiday_Event,Previous_Food_Waste_kg,Temperature_C,Food_Waste_kg
322,171.02,160.67,Fine Dining,Monday,0,18.47,26.0,11.77
179,103.36,78.77,Fast Food,Monday,1,9.15,37.4,29.43
440,226.85,186.27,Bakery,Wednesday,0,30.8,15.1,42.94
429,221.65,180.6,Catering,Sunday,0,4.87,24.5,44.93
136,83.02,65.34,Catering,Saturday,0,18.08,17.3,22.0
44,39.49,30.15,Fast Food,Friday,0,24.82,26.7,10.03
96,64.09,47.07,Buffet,Friday,0,10.64,15.6,21.63
451,232.06,212.37,Catering,Monday,0,22.6,24.4,23.13
373,195.15,158.53,Bakery,Tuesday,0,29.37,20.1,38.87
108,69.77,57.86,Buffet,Saturday,0,8.28,27.3,15.9
157,92.95,85.67,Catering,Thursday,1,32.27,37.9,16.0
415,215.02,191.54,Catering,Tuesday,1,20.27,33.4,29.91
98,65.04,48.7,Fine Dining,Tuesday,1,11.87,34.4,20.37
72,52.73,44.52,Fine Dining,Saturday,0,16.22,29.6,8.92
357,187.58,153.31,Fast Food,Sunday,0,12.3,16.0,34.37
89,60.78,54.42,Buffet,Monday,0,25.93,19.8,8.93
407,211.24,185.75,Fast Food,Monday,0,28.28,36.3,28.45
58,46.11,40.2,Bakery,Monday,0,29.49,23.4,8.75
253,138.37,109.99,Buffet,Monday,0,34.53,17.4,31.81
236,130.33,116.92,Fast Food,Friday,0,28.11,31.2,15.23
418,216.44,158.33,Fast Food,Monday,0,21.85,21.9,61.1
489,250.03,188.8,Fine Dining,Friday,0,13.19,21.2,62.67
86,59.36,47.12,Catering,Friday,0,19.97,38.0,16.82
206,116.14,85.58,Fast Food,Sunday,0,3.36,34.7,32.5
491,250.98,193.68,Fast Food,Monday,1,26.58,24.4,59.45
328,173.86,156.93,Bakery,Wednesday,0,16.72,37.5,17.71
180,103.83,96.42,Fast Food,Thursday,0,2.66,30.0,7.8
123,76.86,60.49,Buffet,Tuesday,0,4.06,32.1,20.9
221,123.23,95.9,Fast Food,Friday,0,14.79,15.7,29.04
430,222.12,173.6,Buffet,Saturday,0,21.25,17.8,52.17
118,74.5,58.19,Buffet,Saturday,0,17.32,29.6,19.31
254,138.85,101.07,Fast Food,Thursday,0,22.43,35.7,40.22
53,43.74,40.41,Fast Food,Saturday,0,17.85,29.3,4.02
254,138.85,106.5,Catering,Wednesday,0,23.84,18.1,35.89
442,227.8,185.06,Fast Food,Saturday,0,9.23,17.7,43.96
167,97.68,70.54,Fine Dining,Tuesday,0,5.72,34.4,27.91
349,183.79,167.02,Fine Dining,Tuesday,0,21.68,18.2,18.54
287,154.46,136.06,Buffet,Friday,0,17.99,27.0,21.15
443,228.27,211.9,Fine Dining,Monday,1,2.89,15.9,19.93
68,50.84,45.35,Buffet,Sunday,0,14.56,16.9,7.26
319,169.6,133.82,Catering,Wednesday,0,5.5,30.5,38.61
377,197.04,152.61,Buffet,Friday,0,19.53,30.9,48.02
358,188.05,164.26,Fast Food,Wednesday,0,15.06,22.9,22.81
241,132.7,106.17,Buffet,Monday,0,22.23,20.0,27.86
400,207.92,175.6,Catering,Saturday,0,28.58,33.7,35.74
96,64.09,46.23,Fine Dining,Saturday,1,11.89,20.0,19.9
431,222.59,163.3,Fine Dining,Sunday,0,33.75,27.5,60.43
257,140.27,117.52,Buffet,Monday,0,19.68,37.3,27.7
101,66.46,56.13,Bakery,Friday,0,22.4,18.4,12.07
196,111.4,98.62,Buffet,Sunday,0,24.46,36.6,17.79
241,132.7,99.4,Catering,Monday,0,24.0,19.2,36.9
56,45.16,37.61,Buffet,Thursday,0,18.86,28.1,11.39
361,189.47,144.52,Buffet,Tuesday,0,16.15,23.7,48.57
45,39.96,29.59,Buffet,Sunday,0,3.77,37.2,14.14
97,64.56,52.31,Fast Food,Sunday,0,2.73,21.3,12.79
364,190.89,144.3,Fine Dining,Friday,1,13.81,24.2,48.79
451,232.06,178.41,Buffet,Wednesday,0,13.01,37.6,56.89
357,187.58,148.16,Bakery,Thursday,1,14.79,27.3,43.54
208,117.08,90.98,Fast Food,Friday,0,6.57,26.6,25.64
492,251.45,185.89,Fine Dining,Monday,1,26.36,20.9,69.13
121,75.92,56.16,Fast Food,Monday,0,30.28,31.1,21.7
464,238.21,181.64,Fast Food,Monday,1,32.98,15.3,59.62
472,241.99,176.92,Fine Dining,Monday,1,18.25,16.1,66.1
258,140.74,120.73,Buffet,Wednesday,0,25.13,28.8,24.87
216,120.87,94.67,Buffet,Thursday,1,30.23,22.9,31.42
243,133.64,104.45,Catering,Saturday,0,15.8,36.9,34.66
110,70.71,56.08,Catering,Tuesday,0,12.21,35.8,19.2
426,220.23,190.68,Fast Food,Wednesday,0,32.91,31.4,31.16
305,162.98,148.56,Fast Food,Wednesday,0,19.02,33.8,16.21
137,83.49,74.06,Fine Dining,Saturday,0,18.41,30.3,10.53
384,200.35,176.32,Fast Food,Saturday,0,7.89,17.9,24.13
330,174.8,144.48,Buffet,Tuesday,0,5.57,32.6,33.69
247,135.53,118.27,Buffet,Tuesday,0,29.79,19.8,21.29
41,38.07,32.04,Bakery,Saturday,1,22.27,22.4,10.12
163,95.79,73.53,Fine Dining,Monday,0,12.75,33.8,23.67
319,169.6,129.89,Buffet,Wednesday,0,8.33,27.3,43.04
113,72.13,56.64,Buffet,Friday,0,20.33,34.8,19.48
205,115.66,106.45,Buffet,Tuesday,0,21.27,19.9,14.34
61,47.53,39.95,Fine Dining,Tuesday,0,8.83,29.0,9.27
193,109.98,96.94,Buffet,Saturday,0,30.1,16.9,17.35
466,239.15,190.42,Buffet,Thursday,0,4.78,29.8,50.14
478,244.83,198.24,Bakery,Friday,1,13.75,32.5,51.1
334,176.7,132.11,Buffet,Friday,0,24.45,28.5,47.87
258,140.74,106.64,Fine Dining,Tuesday,0,11.05,21.1,33.76
196,111.4,100.48,Buffet,Monday,0,29.31,15.7,14.3
269,145.94,123.85,Buffet,Thursday,0,26.42,17.7,24.95
59,46.58,37.0,Buffet,Friday,0,28.04,29.3,13.8
80,56.52,50.68,Bakery,Tuesday,0,5.93,36.5,9.64
477,244.36,189.19,Catering,Friday,0,6.64,19.8,59.1
187,107.15,100.16,Bakery,Sunday,0,11.45,31.9,11.24
147,88.22,70.21,Fast Food,Thursday,1,19.1,34.9,20.37
442,227.8,180.92,Fine Dining,Thursday,1,26.68,27.0,49.34
123,76.86,60.61,Buffet,Sunday,0,29.61,30.4,19.54
406,210.76,157.41,Fast Food,Wednesday,0,25.24,33.7,56.2
361,189.47,141.05,Catering,Sunday,0,32.64,21.0,52.55
453,233.0,200.98,Buffet,Saturday,0,26.38,21.8,35.73
348,183.32,167.28,Buffet,Saturday,0,12.11,15.0,19.53
329,174.33,155.84,Buffet,Tuesday,0,10.75,37.2,21.64
445,229.22,172.15,Buffet,Thursday,0,24.97,36.1,61.29
362,189.95,159.56,Buffet,Wednesday,0,8.36,32.6,34.71
173,100.52,74.71,Fine Dining,Wednesday,0,5.06,16.8,25.57
246,135.06,98.59,Fast Food,Friday,1,19.56,25.3,37.68
322,171.02,147.83,Catering,Friday,1,29.11,17.3,28.43
305,162.98,136.53,Bakery,Sunday,0,5.35,15.4,27.43
112,71.66,52.89,Fast Food,Wednesday,0,28.13,29.2,20.21
391,203.67,148.21,Fast Food,Sunday,1,28.78,37.1,59.72
87,59.83,56.11,Fast Food,Sunday,0,17.92,35.8,5.12
365,191.36,139.04,Fine Dining,Friday,0,3.89,31.0,53.68
272,147.36,120.51,Fast Food,Thursday,0,7.76,17.2,27.06
482,246.72,205.03,Fine Dining,Sunday,0,25.35,21.3,42.87
139,84.43,62.97,Fast Food,Monday,0,25.49,22.4,22.03
98,65.04,49.25,Fine Dining,Thursday,1,31.65,32.6,20.75
297,159.19,126.94,Fast Food,Wednesday,1,21.23,33.5,35.41
452,232.53,206.39,Fast Food,Wednesday,0,6.1,23.9,26.44
491,250.98,208.7,Catering,Sunday,0,6.01,24.6,46.35
104,67.87,58.39,Bakery,Thursday,1,25.8,16.0,13.54
122,76.39,71.56,Buffet,Friday,0,8.06,21.7,7.86
193,109.98,97.77,Catering,Friday,1,12.84,25.4,15.94
305,162.98,132.92,Fast Food,Saturday,0,18.08,17.7,31.33
348,183.32,150.0,Catering,Wednesday,0,2.82,25.4,36.48
118,74.5,63.78,Bakery,Tuesday,0,10.21,34.6,13.55
354,186.16,161.29,Fast Food,Saturday,0,15.46,28.4,25.69
189,108.09,89.73,Buffet,Friday,0,11.23,16.8,20.86
474,242.94,209.38,Fast Food,Thursday,0,6.5,19.4,34.54
87,59.83,43.39,Fine Dining,Friday,0,26.02,25.9,17.64
444,228.74,186.31,Fine Dining,Thursday,0,28.83,23.3,42.55
418,216.44,169.12,Fast Food,Saturday,0,10.5,23.3,48.79
287,154.46,115.6,Buffet,Wednesday,1,27.56,27.2,43.12
317,168.65,125.12,Bakery,Friday,1,14.72,28.4,47.7
395,205.56,175.28,Catering,Sunday,0,18.72,33.3,36.01
137,83.49,69.73,Fine Dining,Thursday,1,30.25,22.8,15.88
453,233.0,180.76,Buffet,Wednesday,0,26.75,33.5,56.54
64,48.95,40.32,Fast Food,Tuesday,0,28.57,22.8,9.6
323,171.49,142.04,Buffet,Thursday,1,6.52,16.3,33.87
488,249.56,190.39,Catering,Saturday,0,4.3,27.7,63.81
408,211.71,182.8,Buffet,Tuesday,0,31.48,28.5,31.87
340,179.54,160.11,Fine Dining,Tuesday,1,14.8,36.5,22.85
107,69.29,61.95,Fast Food,Monday,0,11.5,31.7,9.56
46,40.43,34.47,Fine Dining,Friday,1,25.91,36.1,9.75
344,181.43,151.05,Fine Dining,Thursday,1,29.6,35.9,33.8
176,101.94,74.76,Bakery,Tuesday,0,30.46,28.9,29.74
203,114.72,89.86,Buffet,Monday,1,12.43,27.1,30.3
122,76.39,56.57,Buffet,Saturday,0,30.12,27.8,23.21
424,219.28,204.38,Buffet,Wednesday,0,3.35,37.5,19.4
177,102.41,76.78,Catering,Sunday,0,3.64,32.8,28.39
459,235.84,177.68,Catering,Sunday,1,22.58,17.4,62.81
112,71.66,65.62,Fine Dining,Thursday,0,4.08,32.9,6.59
276,149.26,138.46,Fine Dining,Tuesday,0,12.71,18.9,11.78
85,58.88,52.31,Fine Dining,Sunday,0,24.2,25.3,8.15
145,87.27,62.94,Buffet,Friday,0,13.13,19.8,26.41
455,233.95,168.51,Catering,Sunday,0,7.93,30.9,69.77
327,173.39,139.26,Fast Food,Sunday,0,11.28,35.2,35.79
301,161.08,121.06,Fast Food,Sunday,0,17.1,21.7,40.0
215,120.39,87.17,Fine Dining,Monday,0,17.69,16.9,32.86
205,115.66,95.08,Buffet,Tuesday,1,27.84,21.9,26.18
184,105.73,98.06,Buffet,Friday,0,26.76,30.5,12.65
369,193.26,152.92,Bakery,Tuesday,0,17.07,22.6,42.05
409,212.18,183.63,Buffet,Thursday,1,29.91,21.4,33.3
322,171.02,147.67,Fine Dining,Thursday,0,5.77,19.2,22.09
93,62.67,48.58,Buffet,Thursday,1,10.43,26.4,20.03
217,121.34,104.73,Fast Food,Saturday,0,29.32,21.3,18.62
458,235.37,180.46,Fast Food,Sunday,1,14.47,31.8,58.1
283,152.57,113.95,Fast Food,Saturday,0,34.38,16.8,41.18
380,198.46,173.51,Bakery,Monday,0,17.39,30.3,27.17
166,97.21,72.42,Fast Food,Thursday,0,28.13,20.5,25.49
448,230.64,216.64,Fine Dining,Friday,1,15.28,26.3,16.86
451,232.06,176.45,Fast Food,Tuesday,0,16.02,21.6,55.59
406,210.76,179.3,Fine Dining,Sunday,0,14.64,31.6,31.79
310,165.34,134.01,Catering,Wednesday,0,25.73,36.7,37.28
171,99.58,74.47,Bakery,Friday,0,20.07,36.1,28.81
132,81.12,58.9,Buffet,Sunday,0,33.14,28.4,25.09
418,216.44,185.49,Buffet,Saturday,0,10.28,25.6,32.87
112,71.66,64.31,Fast Food,Saturday,1,5.32,33.8,9.88
450,231.58,209.64,Fine Dining,Friday,0,14.98,30.7,22.38
449,231.11,190.94,Buffet,Saturday,0,22.35,19.2,43.95
442,227.8,202.98,Fast Food,Thursday,0,30.41,33.9,26.96
287,154.46,134.08,Fine Dining,Monday,0,13.42,24.9,21.85
387,201.77,177.42,Fast Food,Tuesday,0,23.57,19.3,25.55
312,166.29,137.75,Bakery,Monday,0,13.56,21.5,29.57
82,57.47,49.39,Buffet,Sunday,0,22.37,21.2,9.96
416,215.5,193.35,Buffet,Tuesday,0,31.2,26.9,26.04
80,56.52,45.64,Bakery,Tuesday,0,9.63,20.4,10.9
209,117.55,105.48,Fast Food,Monday,1,15.34,17.8,13.96
473,242.46,206.15,Fine Dining,Friday,1,34.78,17.8,38.92
251,137.43,103.97,Fast Food,Tuesday,0,30.66,28.4,34.34
207,116.61,84.59,Buffet,Monday,1,20.63,31.9,36.68
78,55.57,44.45,Bakery,Tuesday,0,19.05,22.4,12.3
408,211.71,177.89,Bakery,Wednesday,0,11.39,15.8,36.19
284,153.04,138.46,Fine Dining,Friday,0,19.07,17.9,16.26
190,108.56,81.21,Fast Food,Thursday,0,29.99,36.0,30.98
150,89.64,80.32,Fine Dining,Tuesday,0,24.61,26.4,10.31
475,243.41,221.47,Fast Food,Wednesday,0,11.57,25.4,22.62
86,59.36,44.71,Buffet,Thursday,0,8.65,15.9,18.42
102,66.93,60.73,Catering,Thursday,0,10.75,31.8,9.02
264,143.58,134.7,Buffet,Sunday,0,7.6,27.1,12.33
405,210.29,185.04,Catering,Tuesday,0,5.16,19.6,29.5
108,69.77,62.28,Fast Food,Monday,0,15.83,17.5,7.41
